Datetime,Wind Speed (m/s),Wind Direction (deg),LV ActivePower (kW),Theoretical_Power_Curve (KWh),Rotor Speed (rpm),Pitch Angle (deg)
2018-01-01 16:00:00,9.6925,43.01,792.0492,2597.5442,13.4015,2.0731
2018-01-01 16:10:00,8.5257,37.02,463.7183,1767.8457,11.2522,1.5707
2018-01-01 16:20:00,2.1066,33.64,0.0,26.6666,0.1794,0.0036
2018-01-01 16:30:00,4.1455,35.08,9.0046,203.222,5.339,0.9438
2018-01-01 16:40:00,2.3231,30.62,0.0,35.7668,0.0,0.3218
2018-01-01 16:50:00,11.1754,31.96,1499.6732,3981.4975,15.8916,2.4093
2018-01-01 17:00:00,6.9744,29.68,163.0936,967.7677,10.0137,1.2989
2018-01-01 17:10:00,9.2979,26.75,678.6524,2292.9766,13.3696,2.1157
2018-01-01 17:20:00,16.1119,27.79,1993.7911,11931.4566,16.1941,10.598
2018-01-01 17:30:00,6.1557,29.51,88.3841,665.3857,8.7067,1.5081
2018-01-01 17:40:00,8.1265,33.14,345.078,1530.9265,11.2997,2.0012
2018-01-01 17:50:00,12.6918,35.02,2000.6935,5832.0281,17.0965,1.7254
2018-01-01 18:00:00,5.7373,36.09,32.6517,538.7223,8.4751,1.4478
2018-01-01 18:10:00,3.3607,40.02,11.9928,108.2823,4.3124,0.5613
2018-01-01 18:20:00,6.502,37.2,157.5901,784.1452,9.1076,1.1369
2018-01-01 18:30:00,4.8041,33.45,66.1142,316.2867,6.9755,0.9857
2018-01-01 18:40:00,16.5016,28.95,2013.1582,12818.322,16.6986,11.6477
2018-01-01 18:50:00,13.2965,31.42,2007.02,6705.9425,17.3237,3.1804
2018-01-01 19:00:00,10.3294,29.23,1078.5924,3143.9314,14.3407,2.3369
2018-01-01 19:10:00,14.2968,26.83,2033.4995,8336.1421,16.7099,5.4416
2018-01-01 19:20:00,12.8703,26.52,1976.5585,6081.5695,16.478,1.6132
2018-01-01 19:30:00,5.0348,24.03,0.0,364.078,7.0949,0.8618
2018-01-01 19:40:00,14.8517,22.04,2002.6554,9345.1116,15.8945,7.114
2018-01-01 19:50:00,9.1853,20.68,629.2275,2210.7083,12.7851,2.1358
2018-01-01 20:00:00,12.6193,22.33,2009.8258,5732.7079,17.1807,1.479
2018-01-01 20:10:00,14.5823,25.88,2005.9195,8845.6384,16.381,6.9402
2018-01-01 20:20:00,6.4998,23.47,144.0647,783.3602,8.6143,1.4504
2018-01-01 20:30:00,3.7867,17.56,0.0,154.8887,5.6362,0.6875
2018-01-01 20:40:00,5.4397,19.02,0.0,459.1777,7.9911,1.1579
2018-01-01 20:50:00,7.709,14.59,266.6439,1306.9036,10.3859,1.2254
2018-01-01 21:00:00,12.5348,13.84,2003.1076,5618.3206,17.3198,1.2691
2018-01-01 21:10:00,13.3939,15.88,2008.6298,6854.478,16.9297,3.4313
2018-01-01 21:20:00,1.0298,19.63,19.2152,3.1155,0.3146,0.2639
2018-01-01 21:30:00,8.4463,14.79,406.3683,1718.8943,11.5872,1.6015
2018-01-01 21:40:00,7.4368,16.95,251.3401,1173.2955,10.8582,1.6272
2018-01-01 21:50:00,5.2503,11.26,28.4005,412.851,7.27,0.5678
2018-01-01 22:00:00,3.7943,9.91,25.3951,155.8226,5.2183,1.0903
2018-01-01 22:10:00,6.4616,10.4,89.9996,769.627,9.191,1.2857
2018-01-01 22:20:00,15.5987,7.2,2000.7793,10827.175,16.6824,9.2258
2018-01-01 22:30:00,6.3059,8.26,100.3239,715.3116,8.3721,1.5736
2018-01-01 22:40:00,8.3888,7.05,386.1749,1684.0362,11.7839,1.7331
2018-01-01 22:50:00,10.5616,7.01,1216.522,3360.7638,14.6907,2.3725
2018-01-01 23:00:00,6.6664,7.18,133.4426,845.1315,9.1026,1.4411
2018-01-01 23:10:00,17.0509,7.11,1997.9957,14141.5353,17.1722,12.7227
2018-01-01 23:20:00,16.416,11.29,1925.8017,12619.7448,17.5177,10.8933
2018-01-01 23:30:00,5.4492,9.76,58.4277,461.5885,7.3532,1.4523
2018-01-01 23:40:00,8.0674,7.67,332.8747,1497.8206,11.3537,1.6463
2018-01-01 23:50:00,5.9957,12.05,60.0908,614.847,8.2744,1.6176
2018-01-02 00:00:00,5.794,10.78,35.1551,554.8677,8.7981,0.824
2018-01-02 00:10:00,2.1429,11.27,19.8581,28.0701,0.1475,0.2505
2018-01-02 00:20:00,9.26,13.8,675.0287,2265.064,13.242,1.5213
2018-01-02 00:30:00,8.089,15.02,388.9502,1509.8391,11.6791,1.944
2018-01-02 00:40:00,2.502,14.57,0.0,44.6811,0.039,0.6795
2018-01-02 00:50:00,5.7258,11.48,56.1547,535.4959,7.9602,0.6839
2018-01-02 01:00:00,14.1993,4.93,1999.2907,8166.8133,17.2557,5.2451
2018-01-02 01:10:00,5.3051,4.64,72.1733,425.9244,7.6605,0.7209
2018-01-02 01:20:00,4.1141,5.18,11.0028,198.6392,5.5059,1.1311
2018-01-02 01:30:00,7.9795,5.29,279.7813,1449.3458,10.954,1.9582
2018-01-02 01:40:00,18.4381,7.5,1986.109,17881.3496,16.6831,15.9547
2018-01-02 01:50:00,5.3339,5.38,9.282,432.9049,7.8153,0.4461
2018-01-02 02:00:00,10.1544,6.18,1055.076,2986.8561,14.6582,1.4366
2018-01-02 02:10:00,11.3836,7.27,1617.8447,4208.1959,16.5826,2.6699
2018-01-02 02:20:00,5.3412,8.16,48.7834,434.6805,7.2651,1.4389
2018-01-02 02:30:00,10.898,13.59,1404.8047,3692.279,15.2993,2.647
2018-01-02 02:40:00,6.7797,14.09,178.7444,888.9671,9.3715,1.3185
2018-01-02 02:50:00,9.6658,10.36,822.7745,2576.1106,13.4774,1.3162
2018-01-02 03:00:00,9.8488,7.46,889.6962,2725.2615,14.0674,2.117
2018-01-02 03:10:00,8.7169,10.64,522.1442,1889.4693,12.1899,1.597
2018-01-02 03:20:00,3.3666,12.25,16.4319,108.8454,5.1079,1.2046
2018-01-02 03:30:00,12.8547,11.99,1949.6613,6059.4963,16.6451,2.3425
2018-01-02 03:40:00,6.3845,10.39,108.6251,742.3983,9.1608,1.3368
2018-01-02 03:50:00,4.7992,11.4,34.4399,315.3153,6.586,0.841
2018-01-02 04:00:00,2.3695,11.91,0.0,37.9513,0.0,0.8767
2018-01-02 04:10:00,9.5507,13.29,734.4045,2485.1518,13.0645,1.6954
2018-01-02 04:20:00,10.6329,7.64,1212.1709,3429.3123,14.9233,1.7106
2018-01-02 04:30:00,1.5655,6.85,30.8859,10.9457,0.5764,0.3374
2018-01-02 04:40:00,8.6438,7.85,515.2428,1842.294,11.9634,2.0553
2018-01-02 04:50:00,5.4182,6.67,34.9225,453.749,7.5347,1.5761
2018-01-02 05:00:00,10.4736,9.22,1126.9019,3277.4636,14.8099,1.6222
2018-01-02 05:10:00,4.8631,11.52,46.516,328.0826,6.6285,1.3541
2018-01-02 05:20:00,11.0865,7.9,1450.0065,3887.1458,15.3759,2.1986
2018-01-02 05:30:00,7.4447,11.47,204.112,1177.069,10.4443,1.7315
2018-01-02 05:40:00,16.3504,9.83,1989.0571,12469.1,16.669,10.4476
2018-01-02 05:50:00,4.3238,11.88,0.0,230.5886,5.5184,0.7495
2018-01-02 06:00:00,7.1101,12.52,185.4606,1025.3653,9.7591,1.6164
2018-01-02 06:10:00,4.0425,11.24,17.0745,188.4575,5.844,0.8087
2018-01-02 06:20:00,16.2949,14.66,1987.7561,12342.573,16.9938,10.7009
2018-01-02 06:30:00,14.8178,18.19,1997.1473,9281.2549,17.2009,6.943
2018-01-02 06:40:00,6.1052,19.34,93.1266,649.1712,8.924,1.2227
2018-01-02 06:50:00,10.9508,21.61,1425.8634,3746.156,15.061,2.1969
2018-01-02 07:00:00,13.8123,19.28,2007.4177,7517.055,16.5764,4.1913
2018-01-02 07:10:00,9.863,24.12,895.9325,2737.049,13.5979,1.8055
2018-01-02 07:20:00,9.5479,23.93,773.8176,2483.0044,13.3215,2.0878
2018-01-02 07:30:00,6.0544,24.37,87.0506,633.0837,8.2892,1.1713
2018-01-02 07:40:00,3.7713,27.78,0.0,153.0104,5.2274,0.9025
2018-01-02 07:50:00,15.7707,26.79,2024.1263,11189.3241,16.5383,9.377
2018-01-02 08:00:00,16.2431,22.55,1989.9704,12225.3623,17.0353,10.4364
2018-01-02 08:10:00,11.1223,18.66,1460.5017,3924.9472,15.2868,2.5314
2018-01-02 08:20:00,7.4404,16.46,196.2705,1175.0302,10.1174,1.6811
2018-01-02 08:30:00,7.566,20.37,234.9132,1235.5013,10.7484,1.4807
2018-01-02 08:40:00,12.4916,26.3,1984.2144,5560.3915,17.0167,1.4617
2018-01-02 08:50:00,16.1381,29.42,2011.0115,11989.8167,16.7325,10.5316
2018-01-02 09:00:00,16.1472,27.97,2015.8599,12009.984,17.0607,10.1964
2018-01-02 09:10:00,13.6763,28.35,1953.9527,7297.2322,17.039,4.2404
2018-01-02 09:20:00,11.4675,27.27,1648.621,4301.8995,16.6243,2.4066
2018-01-02 09:30:00,3.7508,22.95,7.0603,150.5332,5.471,0.8967
2018-01-02 09:40:00,5.1467,20.89,49.6176,388.9073,7.7176,1.5572
2018-01-02 09:50:00,16.5029,18.22,1979.5199,12821.2453,16.8186,11.4506
2018-01-02 10:00:00,11.1366,13.08,1417.247,3940.0997,16.0111,2.4245
2018-01-02 10:10:00,1.3672,12.18,37.2443,7.291,0.4262,0.0
2018-01-02 10:20:00,4.1625,12.71,0.0,205.7379,5.7847,1.6286
2018-01-02 10:30:00,11.9511,11.91,1903.6036,4869.4495,16.525,2.0039
2018-01-02 10:40:00,1.0412,11.22,0.0,3.2202,0.0,0.0425
2018-01-02 10:50:00,5.2099,10.61,48.9429,403.4093,7.4184,0.8891
2018-01-02 11:00:00,10.4571,7.03,1117.4275,3261.9656,14.295,1.997
2018-01-02 11:10:00,12.4953,9.49,2008.9782,5565.3789,16.6639,0.9752
2018-01-02 11:20:00,11.8898,5.5,1954.5929,4794.8876,17.0049,1.8919
2018-01-02 11:30:00,6.2224,1.85,57.5535,687.2511,8.9113,1.5984
2018-01-02 11:40:00,12.8188,6.92,1997.6905,6008.9365,16.0942,1.8925
2018-01-02 11:50:00,6.407,6.87,113.9887,750.2635,8.57,0.6455
2018-01-02 12:00:00,7.6177,0.39,263.6547,1261.0137,11.3124,1.4379
2018-01-02 12:10:00,13.4387,6.5,1952.1421,6923.4137,17.1539,3.7301
2018-01-02 12:20:00,11.8925,9.41,1913.6927,4798.0791,16.4746,1.8998
2018-01-02 12:30:00,15.5503,7.85,1990.1133,10726.8172,16.3535,9.0614
2018-01-02 12:40:00,12.0105,10.09,1962.6833,4942.3837,16.4251,0.1209
2018-01-02 12:50:00,10.7513,6.89,1280.4686,3545.199,15.2046,1.8892
2018-01-02 13:00:00,4.043,4.21,26.7169,188.528,6.2533,0.8943
2018-01-02 13:10:00,8.1386,2.27,364.1848,1537.817,11.9681,2.1154
2018-01-02 13:20:00,6.7944,4.38,170.4683,894.746,9.0394,1.3757
2018-01-02 13:30:00,6.5016,8.07,112.1336,783.9943,9.0135,1.1508
2018-01-02 13:40:00,20.8,7.77,1988.0514,25670.752,16.5429,21.753
2018-01-02 13:50:00,8.4615,9.02,410.8289,1728.2294,11.8873,2.2366
2018-01-02 14:00:00,16.5394,9.92,1985.1606,12906.5935,16.4007,11.2859
2018-01-02 14:10:00,11.4821,5.49,1667.6164,4318.3542,15.9112,2.2251
2018-01-02 14:20:00,14.1685,358.92,1967.761,8113.852,16.5398,5.6854
2018-01-02 14:30:00,9.7656,359.76,878.4206,2656.7079,13.8289,2.1246
2018-01-02 14:40:00,10.7352,0.26,1261.6558,3529.2795,14.8749,1.7335
2018-01-02 14:50:00,9.6365,357.58,799.8399,2552.7831,13.3798,1.9884
2018-01-02 15:00:00,5.659,354.37,53.5016,516.9658,8.0758,0.9852
2018-01-02 15:10:00,12.681,353.62,2006.1495,5817.1899,17.2928,2.056
2018-01-02 15:20:00,6.8398,352.89,205.5516,912.7932,10.2104,1.0226
2018-01-02 15:30:00,2.1032,351.17,0.0,26.5412,0.1368,0.6588
2018-01-02 15:40:00,11.5164,350.67,1709.6109,4357.144,16.0964,1.7149
2018-01-02 15:50:00,5.3873,344.33,71.706,446.0329,7.9371,1.272
2018-01-02 16:00:00,17.7993,340.54,2010.3139,16086.3764,17.1501,14.7305
2018-01-02 16:10:00,18.5174,346.75,1981.0996,18113.0416,17.0645,16.0234
2018-01-02 16:20:00,16.7358,353.32,1970.2163,13371.8791,16.3262,12.0993
2018-01-02 16:30:00,7.8227,349.19,272.2025,1365.5784,11.3142,1.5269
2018-01-02 16:40:00,1.6752,352.93,0.0,13.4113,0.1075,0.0
2018-01-02 16:50:00,17.2572,354.16,2026.5474,14661.0183,16.5319,13.2323
2018-01-02 17:00:00,8.3318,350.49,411.3442,1649.9665,11.463,1.4249
2018-01-02 17:10:00,18.9324,348.76,2004.9027,19358.4054,16.9746,17.6102
2018-01-02 17:20:00,18.7104,351.97,1975.8797,18685.4379,16.0465,17.1692
2018-01-02 17:30:00,14.5908,353.75,1994.2051,8861.1951,16.7624,6.3533
2018-01-02 17:40:00,6.7242,355.52,163.4146,867.3192,9.2174,1.0181
2018-01-02 17:50:00,7.8209,354.45,328.9967,1364.6473,10.7222,1.5564
2018-01-02 18:00:00,14.18,348.01,1982.0551,8133.4881,16.6628,5.6697
2018-01-02 18:10:00,6.8244,349.94,169.5923,906.6677,9.1104,1.1823
2018-01-02 18:20:00,4.922,350.38,23.0852,340.1508,7.2065,1.1217
2018-01-02 18:30:00,9.6336,352.98,835.8218,2550.4667,12.8487,2.1955
2018-01-02 18:40:00,16.7598,355.97,1999.8467,13429.3618,16.8508,12.2367
2018-01-02 18:50:00,11.4539,349.68,1688.9952,4286.6316,15.7812,2.4053
2018-01-02 19:00:00,9.5419,354.69,743.7989,2478.3257,13.9538,1.3913
2018-01-02 19:10:00,3.6551,354.8,0.0,139.2952,5.1239,0.6423
2018-01-02 19:20:00,10.0903,354.39,956.0479,2930.6399,13.4894,1.9551
2018-01-02 19:30:00,20.6441,348.94,1992.2686,25098.1428,16.964,21.6367
2018-01-02 19:40:00,4.3631,347.91,0.0,236.9372,5.7805,0.1002
2018-01-02 19:50:00,8.9351,347.97,571.5339,2034.9112,12.8046,1.5475
2018-01-02 20:00:00,14.0778,352.5,2014.3368,7958.9377,16.9853,5.1398
2018-01-02 20:10:00,11.5199,349.47,1721.3411,4361.1453,16.5697,2.4364
2018-01-02 20:20:00,10.8947,348.78,1373.8996,3688.9305,15.3087,2.8564
2018-01-02 20:30:00,10.9699,347.21,1383.1938,3765.8704,15.6037,2.3917
2018-01-02 20:40:00,6.9596,345.47,193.2831,961.6199,9.7563,1.0929
2018-01-02 20:50:00,6.217,343.85,119.5393,685.4768,8.5269,0.9941
2018-01-02 21:00:00,12.3699,337.88,1998.5264,5399.4519,17.1197,0.7205
2018-01-02 21:10:00,12.3833,338.08,2018.8548,5417.0237,16.4309,0.8408
2018-01-02 21:20:00,13.5277,336.05,1996.2768,7061.9821,16.7891,3.8871
2018-01-02 21:30:00,14.7601,337.15,2039.3908,9173.1361,16.6294,6.6171
2018-01-02 21:40:00,8.4471,340.6,404.4484,1719.3763,12.0785,1.6238
2018-01-02 21:50:00,8.3395,338.94,429.047,1654.5229,11.3913,1.6081
2018-01-02 22:00:00,11.9684,337.67,1980.8676,4890.6117,16.6332,2.4951
2018-01-02 22:10:00,9.8791,338.17,903.1561,2750.4406,13.8439,1.8536
2018-01-02 22:20:00,10.5404,337.19,1224.1527,3340.6028,15.2029,1.8782
2018-01-02 22:30:00,11.9264,339.25,1923.7055,4839.3192,16.5373,2.1741
2018-01-02 22:40:00,13.8497,342.53,2007.3907,7578.3456,16.6797,4.7419
2018-01-02 22:50:00,6.4613,348.06,91.9929,769.5186,8.6414,1.0746
2018-01-02 23:00:00,6.7875,346.12,151.1091,892.0265,9.2076,1.5673
2018-01-02 23:10:00,3.336,343.76,28.9554,105.9079,4.7943,0.7771
2018-01-02 23:20:00,8.9407,346.42,582.6943,2038.7494,12.5266,1.4614
2018-01-02 23:30:00,2.1253,345.85,0.0,27.3851,0.0144,0.7967
2018-01-02 23:40:00,7.7284,345.51,307.5125,1316.7796,11.3421,1.5696
2018-01-02 23:50:00,8.5486,345.04,475.2242,1782.1067,11.4663,1.5099
2018-01-03 00:00:00,5.8084,348.9,78.7398,559.0084,8.8271,1.7106
2018-01-03 00:10:00,9.0407,349.89,600.47,2107.9037,13.0104,1.8045
2018-01-03 00:20:00,1.9611,345.8,0.0,21.515,0.0,0.4997
2018-01-03 00:30:00,2.1537,342.79,21.9626,28.4959,0.1174,0.4354
2018-01-03 00:40:00,12.2048,346.27,1978.838,5186.0704,16.5951,0.9444
2018-01-03 00:50:00,6.5958,354.93,135.5248,818.5567,9.3299,1.8533
2018-01-03 01:00:00,3.8551,358.36,8.9902,163.4385,6.0421,0.8487
2018-01-03 01:10:00,8.3223,355.38,433.5037,1644.2835,11.4573,1.6859
2018-01-03 01:20:00,11.3775,355.97,1607.9797,4201.3973,15.8589,2.5559
2018-01-03 01:30:00,5.0219,358.86,50.0557,361.288,6.8036,0.8594
2018-01-03 01:40:00,,356.02,,2401.6807,,
2018-01-03 01:50:00,3.1839,351.6,0.0,92.0721,4.3366,0.4413
2018-01-03 02:00:00,2.5421,354.58,7.4671,46.8605,0.0,1.0762
2018-01-03 02:10:00,8.5133,354.47,440.5513,1760.1328,11.8395,2.0285
2018-01-03 02:20:00,8.6147,355.92,482.0234,1823.7768,12.0768,2.2578
2018-01-03 02:30:00,,358.33,,2619.6992,,
2018-01-03 02:40:00,10.8603,358.07,1305.9548,3654.106,14.5147,2.4446
2018-01-03 02:50:00,17.5527,355.5,1974.4419,15427.059,16.7537,14.0087
2018-01-03 03:00:00,8.4953,357.06,494.1573,1748.9727,11.8792,1.7907
2018-01-03 03:10:00,6.4038,359.02,77.2176,749.1491,9.5346,1.7774
2018-01-03 03:20:00,12.1147,356.99,1967.6623,5072.1135,16.808,0.013
2018-01-03 03:30:00,5.8184,359.67,74.8415,561.8937,8.4264,0.982
2018-01-03 03:40:00,7.6575,2.4,259.5243,1280.9042,10.5928,1.3713
2018-01-03 03:50:00,3.1469,1.96,16.1824,88.8958,4.795,0.1963
2018-01-03 04:00:00,1.9009,2.29,0.0,19.5932,0.0,0.0
2018-01-03 04:10:00,17.251,2.26,2045.8005,14645.0471,16.9515,13.0764
2018-01-03 04:20:00,13.1451,6.78,1970.2021,6479.5444,17.0521,3.0861
2018-01-03 04:30:00,10.8724,4.17,1352.1145,3666.3491,15.4295,2.1077
2018-01-03 04:40:00,7.499,2.59,254.1427,1202.9939,11.1479,1.2545
2018-01-03 04:50:00,4.7245,3.59,4.9429,300.8377,6.4391,1.3092
2018-01-03 05:00:00,4.6038,5.96,5.1479,278.3506,6.8694,0.5803
2018-01-03 05:10:00,5.8485,3.55,46.8332,570.663,8.5346,0.6151
2018-01-03 05:20:00,9.2881,3.44,688.1851,2285.7508,13.0181,1.4005
2018-01-03 05:30:00,11.4137,7.28,1654.8969,4241.6066,16.531,2.7517
2018-01-03 05:40:00,10.6623,5.51,1235.9288,3457.8243,14.8832,2.0715
2018-01-03 05:50:00,6.2081,5.23,90.0552,682.5451,8.6981,1.6233
2018-01-03 06:00:00,17.676,6.8,1984.6927,15754.3649,16.7984,14.5559
2018-01-03 06:10:00,12.0722,5.89,2014.1272,5018.974,16.418,0.0
2018-01-03 06:20:00,9.5968,8.55,814.0608,2521.3684,13.664,1.938
